DayOrder,DayOfWeekStr,starttime,endtime,permit,PermitLocation,locationdesc,optionaltext,locationid,scheduleid,start24,end24,CNN,Addr_Date_Create,Addr_Date_Modified,block,lot,ColdTruck,Applicant,X,Y,Latitude,Longitude,Location
2,Tuesday,8AM,9AM,13MFF-0102,Assessors Block 4103/Lot023A,Setup at 650 Pennsylvania Ave. 1:10pm-1:20pm,"Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks",437207,,08:00,09:00,0,06/07/2011 11:58:19 AM,06/07/2011 11:58:43 AM,4103,023A,Y,Natan's Catering,6014314.885,2104114.856,37.7583033956425,-122.393514054817,
2,Tuesday,11AM,12PM,13MFF-0102,Assessors Block 4103/Lot023A,Setup at 650 Pennsylvania Ave. 1:10pm-1:20pm,"Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks",437207,,11:00,12:00,0,06/07/2011 11:58:19 AM,06/07/2011 11:58:43 AM,4103,023A,Y,Natan's Catering,6014314.885,2104114.856,37.7583033956425,-122.393514054817,
2,Tuesday,12PM,1PM,13MFF-0102,Assessors Block 4103/Lot023A,Setup at 650 Pennsylvania Ave. 1:10pm-1:20pm,"Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks",437207,,12:00,13:00,0,06/07/2011 11:58:19 AM,06/07/2011 11:58:43 AM,4103,023A,Y,Natan's Catering,6014314.885,2104114.856,37.7583033956425,-122.393514054817,
2,Tuesday,7PM,8PM,13MFF-0102,Assessors Block 4103/Lot023A,Setup at 650 Pennsylvania Ave. 1:10pm-1:20pm,"Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks",437207,,19:00,20:00,0,06/07/2011 11:58:19 AM,06/07/2011 11:58:43 AM,4103,023A,Y,Natan's Catering,6014314.885,2104114.856,37.7583033956425,-122.393514054817,
2,Tuesday,6AM,7AM,15MFF-0119,Assessors Block 4103/Lot023A,Setup at 650 Pennsylvania Ave. 1:10pm-1:20pm,"Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks",645795,,06:00,07:00,0,06/07/2011 11:58:19 AM,06/07/2011 11:58:43 AM,4103,023A,Y,Natan's Catering,6014314.885,2104114.856,37.7583033956425,-122.393514054817,
2,Tuesday,12PM,1PM,15MFF-0119,Assessors Block 4103/Lot023A,Setup at 650 Pennsylvania Ave. 1:10pm-1:20pm,"Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks",645795,,12:00,13:00,0,06/07/2011 11:58:19 AM,06/07/2011 11:58:43 AM,4103,023A,Y,Natan's Catering,6014314.885,2104114.856,37.7583033956425,-122.393514054817,
2,Tuesday,3PM,4PM,15MFF-0119,Assessors Block 4103/Lot023A,Setup at 650 Pennsylvania Ave. 1:10pm-1:20pm,"Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks",645795,,15:00,16:00,0,06/07/2011 11:58:19 AM,06/07/2011 11:58:43 AM,4103,023A,Y,Natan's Catering,6014314.885,2104114.856,37.7583033956425,-122.393514054817,
2,Tuesday,6AM,7AM,13MFF-0102,Assessors Block 3941/Lot001,"Setup at 699 Illinois St. 9:00am-9:10am(M-F), 1:20pm-1:35pm(M-F)","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks",437210,,06:00,07:00,7166000,06/07/2011 12:10:31 PM,06/07/2011 12:11:04 PM,3941,001,Y,Natan's Catering,6016208.818,2106421.254,37.764741322675,-122.387124812179,
2,Tuesday,9AM,12PM,13MFF-0102,Assessors Block 3941/Lot001,"Setup at 699 Illinois St. 9:00am-9:10am(M-F), 1:20pm-1:35pm(M-F)","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks",437210,,09:00,12:00,7166000,06/07/2011 12:10:31 PM,06/07/2011 12:11:04 PM,3941,001,Y,Natan's Catering,6016208.818,2106421.254,37.764741322675,-122.387124812179,
2,Tuesday,10AM,11AM,13MFF-0102,Assessors Block 3941/Lot001,"Setup at 699 Illinois St. 9:00am-9:10am(M-F), 1:20pm-1:35pm(M-F)","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks",437210,,10:00,11:00,7166000,06/07/2011 12:10:31 PM,06/07/2011 12:11:04 PM,3941,001,Y,Natan's Catering,6016208.818,2106421.254,37.764741322675,-122.387124812179,
